"id","icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","baro_altitude","on_ground","velocity","true_track","vertical_rate","geo_altitude","squawk","spi","position_source","timestamp"
1,"801641","AXB1142 ","India","1752744460","1752744460","86.0646","26.0521","11277.6",False,"228.56","87.94","0","12054.84","0533",False,0,"2025-07-17 14:58:00.769223+05:30"
2,"801644","VTBHK   ","India","1752744459","1752744461","77.2909","30.2559","2819.4",False,"77.54","154.45","0","2895.6",NULL,False,0,"2025-07-17 14:58:00.81112+05:30"
3,"801649","IGO394  ","India","1752744212","1752744217","88.4404","22.6431",NULL,True,"0","275.62",NULL,NULL,"0466",False,0,"2025-07-17 14:58:00.816249+05:30"
4,"80160a","IGO639P ","India","1752744460","1752744461","72.9431","18.495","7094.22",False,"205.79","145.08","8.13","7475.22",NULL,False,0,"2025-07-17 14:58:00.816249+05:30"
5,"801616","IGO53AE ","India","1752744461","1752744461","73.4582","18.7299","4000.5",False,"191.44","285.27","6.18","4122.42",NULL,False,0,"2025-07-17 14:58:00.816249+05:30"
6,"801618","SDG213  ","India","1752744461","1752744462","77.0365","15.3662","8839.2",False,"229.55","37.08","0","9304.02",NULL,False,0,"2025-07-17 14:58:00.816249+05:30"
7,"80160f","IGO6595 ","India","1752744402","1752744444","73.5618","19.2309","10355.58",False,"235.98","347.02","0","10995.66",NULL,False,0,"2025-07-17 14:58:00.816249+05:30"
8,"80160d","AXB2738 ","India","1752744379","1752744379","78.1998","14.1022","6332.22",False,"222.7","209.17","-12.03","7391.4",NULL,False,0,"2025-07-17 14:58:00.825657+05:30"
9,"801627","AXB1153 ","India","1752744461","1752744461","77.1332","29.9968","6697.98",False,"204.02","193.27","-0.33","7094.22",NULL,False,0,"2025-07-17 14:58:00.827688+05:30"
10,"801632","AKJ156C ","India","1752744462","1752744462","85.0706","22.6264","11087.1",False,"223.49","79.39","-4.23","11841.48","0337",False,0,"2025-07-17 14:58:00.829774+05:30"
11,"801685","AXB1596 ","India","1752744461","1752744461","88.4419","22.6469",NULL,True,"0","5.62",NULL,NULL,"1361",False,0,"2025-07-17 14:58:00.829774+05:30"
12,"801684","GOA5606 ","India","1752744425","1752744427","74.0441","18.5745","1280.16",False,"96.6","275.19","-5.85","1257.3",NULL,False,0,"2025-07-17 14:58:00.829774+05:30"
13,"80167e","AIC2524 ","India","1752744461","1752744462","76.8856","28.5856","876.3",False,"95.33","103.74","0","777.24",NULL,False,0,"2025-07-17 14:58:00.832716+05:30"
14,"80167f","AIC2465 ","India","1752744462","1752744462","77.1475","28.3375","2575.56",False,"142.57","174.82","13.33","2575.56",NULL,False,0,"2025-07-17 14:58:00.832716+05:30"
15,"80164b","IGO1154 ","India","1752744462","1752744462","80.0898","27.9672","11567.16",False,"250.92","273.17","0","12374.88",NULL,False,0,"2025-07-17 14:58:00.832716+05:30"
